GEO/TIME,EA_PMI
2000Q1,113.5
2000Q2,116.1
2000Q3,114.7
2000Q4,113
2001Q1,108.5
2001Q2,104
2001Q3,97.1
2001Q4,89.4
2002Q1,94.5
2002Q2,96.6
2002Q3,93.3
2002Q4,91.1
2003Q1,89.7
2003Q2,91.6
2003Q3,93.2
2003Q4,98.1
2004Q1,98.2
2004Q2,100.4
2004Q3,100.7
2004Q4,100.6
2005Q1,98.6
2005Q2,97.5
2005Q3,98.5
2005Q4,101.6
2006Q1,103.7
2006Q2,107.6
2006Q3,109.4
2006Q4,110.7
2007Q1,110.4
2007Q2,112.1
2007Q3,108.8
2007Q4,104.9
2008Q1,102
2008Q2,96.1
2008Q3,90.2
2008Q4,72
2009Q1,67.6
2009Q2,69.1
2009Q3,77.6
2009Q4,87.5
2010Q1,94.1
2010Q2,97.9
2010Q3,100.3
2010Q4,103
2011Q1,106.2
2011Q2,103.9
2011Q3,94.3
2011Q4,92.7
2012Q1,92.9
2012Q2,89.8
2012Q3,84.9
2012Q4,84.4
2013Q1,88.3
2013Q2,87.1
2013Q3,90.5
2013Q4,96
2014Q1,99.4
2014Q2,100.5
2014Q3,98.9
2014Q4,99.4
2015Q1,100
2015Q2,102.7
2015Q3,103.4
2015Q4,105.4
2016Q1,102.5
2016Q2,103.5
2016Q3,103.6
2016Q4,105.8
2017Q1,107.1
2017Q2,108.5
2017Q3,111.5
2017Q4,113.7
2018Q1,112.6
2018Q2,112
2018Q3,111
2018Q4,108
2019Q1,106
2019Q2,103.5
2019Q3,101.7
2019Q4,100.9
2020Q1,95.3
2020Q2,67.8
2020Q3,84.2
2020Q4,89.3
2021Q1,91.5
2021Q2,110.5
2021Q3,117.6
2021Q4,112.5
