Counter,Date,Price,Open,High,Low,Vol.,Change %
224,Sep.03,413.26,413.26,413.5,354.13,-,15.29%
223,Oct.03,451.69,451.69,456.17,408.09,-,9.30%
222,Nov.03,439.63,439.63,456.34,436.94,-,-2.67%
221,Dec.03,454.34,454.34,454.34,436.52,-,3.35%
220,Jan.04,454.52,454.52,460.17,446.74,-,0.04%
219,Feb.04,454.67,454.67,454.67,416.55,-,0.03%
218,Mar.04,453.09,453.09,468.08,447.53,-,-0.35%
217,Apr.04,472.12,472.12,494.4,448.12,-,4.20%
216,May.04,497,497,500.47,470.03,-,5.27%
215,Jun.04,506.71,506.71,506.71,486.62,-,1.95%
214,Jul.04,531.43,531.43,535.44,506.45,-,4.88%
213,Aug.04,556.3,556.3,561.49,531.63,-,4.68%
212,Sep.04,586.46,586.46,588.11,556.53,-,5.42%
211,Oct.04,639.81,639.81,643.15,576.25,-,9.10%
210,Nov.04,630.73,630.73,645.44,576.58,-,-1.42%
209,Dec.04,625.31,625.31,659.46,623.51,-,-0.86%
208,Jan.05,714.87,714.87,714.97,617.65,-,14.32%
207,Feb.05,907.58,907.58,939.66,91.99,-,26.96%
206,Mar.05,840.01,840.01,910.22,817.3,-,-7.45%
205,Apr.05,783.17,783.17,847.85,764.73,-,-6.77%
204,May.05,788.67,788.67,819.91,781.58,-,0.70%
203,Jun.05,732.96,732.96,793.99,696.65,-,-7.06%
202,Jul.05,779.83,779.83,783.18,722.38,-,6.39%
201,Aug.05,824.74,824.74,831.27,776.42,-,5.76%
200,Sep.05,898.38,898.38,906.88,818.43,-,8.93%
199,Oct.05,831.11,831.11,900.63,806.24,-,-7.49%
198,Nov.05,829.43,829.43,856.45,829.43,-,-0.20%
197,Dec.05,825.53,825.53,829.37,798.24,-,-0.47%
196,Jan.06,866.22,866.22,872.28,821.79,-,4.93%
195,Feb.06,875.46,875.46,883.7,864.39,-,1.07%
194,Mar.06,869.91,869.91,885.31,866.01,-,-0.63%
193,Apr.06,886.57,886.57,890.63,849.36,-,1.92%
192,May.06,867.14,867.14,890.64,861.14,-,-2.19%
191,Jun.06,888.25,888.25,888.95,870.68,-,2.43%
190,Jul.06,929.78,929.78,929.99,882.55,-,4.68%
189,Aug.06,959.22,959.22,961.73,920.45,-,3.17%
188,Sep.06,966.78,966.78,966.78,931.99,-,0.79%
187,Oct.06,"1,098.29","1,098.29","1,098.70",962.4,-,13.60%
186,Nov.06,"1,160.26","1,160.26","1,190.04","1,075.60",-,5.64%
185,Dec.06,"1,224.12","1,224.12","1,226.61","1,155.39",-,5.50%
