"Date","Price","Open","High","Low","Change %"
"Apr 22","0.500","0.210","0.500","0.210","138.10%"
"Mar 22","0.210","0.210","0.210","0.000","-216.67%"
"Jan 22","-0.180","-0.240","-0.180","-0.240","-18.18%"
"Dec 21","-0.220","-0.190","-0.190","-0.220","340.00%"
"Nov 21","-0.050","-0.050","-0.050","-0.220","-266.67%"
"Oct 21","0.030","0.030","0.030","-0.145","0.00%"
"Aug 21","0.030","0.030","0.030","0.030","-120.69%"
"Jul 21","-0.145","-0.275","-0.145","-0.325","-47.27%"
"Apr 21","-0.275","-0.225","-0.225","-0.275","22.22%"
"Mar 21","-0.225","-0.225","-0.225","-0.225","350.00%"
"Feb 21","-0.050","-0.050","-0.050","-0.225","0.00%"
"Jan 21","-0.050","-0.100","0.050","-0.100","-200.00%"
"Dec 20","0.050","0.050","0.050","0.050","-162.50%"
"Nov 20","-0.080","0.050","0.060","-0.255","-260.00%"
"Oct 20","0.050","0.050","0.050","0.000","0.00%"
"Sep 20","0.050","-0.079","0.050","-0.125","8.70%"
"Aug 20","0.046","0.042","0.050","0.000","9.52%"
"Jul 20","0.042","0.156","0.262","-0.125","-85.05%"
"Jun 20","0.281","0.280","0.281","0.268","12.40%"
"May 20","0.250","0.100","0.280","0.100","66.67%"
"Apr 20","0.150","-0.020","0.150","-0.026","-1,171.43%"
"Mar 20","-0.014","-0.003","0.009","-0.094","250.00%"
"Feb 20","-0.004","0.001","0.007","-0.010","-500.00%"
"Jan 20","0.001","-0.009","0.002","-0.009","-125.00%"
"Dec 19","-0.004","0.000","0.006","-0.056","-60.00%"
"Nov 19","-0.010","-0.011","0.000","-0.011","66.67%"
"Oct 19","-0.006","0.023","0.023","-0.011","-126.09%"
"Sep 19","0.023","0.050","0.050","0.009","-17.86%"
"Aug 19","0.028","0.019","0.050","0.015","-12.50%"
"Jul 19","0.032","0.034","0.050","0.025","23.08%"
"Jun 19","0.026","0.003","0.034","-0.218","-388.89%"
"May 19","-0.009","0.007","0.025","-0.167","-550.00%"
"Apr 19","0.002","-0.293","0.239","-0.383","-100.70%"
"Mar 19","-0.287","-0.126","0.048","-0.287","139.17%"
"Feb 19","-0.120","0.069","0.100","-0.120","-262.16%"
"Jan 19","0.074","0.087","0.100","0.039","2.78%"
"Dec 18","0.072","0.100","0.100","0.062","0.00%"
"Nov 18","0.072","0.105","0.150","0.049","-36.84%"
"Oct 18","0.114","0.113","0.120","0.093","11.76%"
"Sep 18","0.102","0.100","0.120","0.090","3.03%"
"Aug 18","0.099","0.119","0.120","0.079","-17.50%"
"Jul 18","0.120","0.100","0.120","0.070","0.84%"
"Jun 18","0.119","0.149","0.150","0.100","-20.13%"
"May 18","0.149","0.150","0.150","0.100","-0.67%"
"Apr 18","0.150","0.180","0.180","0.100","51.52%"
"Mar 18","0.099","0.200","0.202","0.099","-50.50%"
"Feb 18","0.200","0.099","0.200","0.099","100.00%"
"Jan 18","0.100","0.050","0.100","-0.001","-300.00%"
"Dec 17","-0.050","-0.050","0.112","-0.050","0.00%"
"Nov 17","-0.050","0.104","0.105","-0.050","-148.08%"
"Oct 17","0.104","0.000","0.104","-0.002","0.00%"
"Sep 17","0.000","0.050","0.103","-0.001","-100.00%"
