Counter,Date,Price,Open,High,Low,Vol.,Change %
275,Jan.99,94.13,91.47,99.32,91.34,-,3.74%
274,Feb.99,107.37,94.28,116.38,94.28,-,14.07%
273,Mar.99,117.5,107.34,120.38,107.34,-,9.43%
272,Apr.99,118.63,119.76,121.51,115.6,-,0.96%
271,May.99,120.11,118.23,123.25,118.23,-,1.25%
270,Jun.99,109.63,120.45,120.93,108.81,-,-8.73%
269,Jul.99,114.59,111.01,118.23,111.01,-,4.52%
268,Aug.99,114.09,113.05,115.09,112.34,-,-0.44%
267,Sep.99,98.74,110.54,111.49,97.94,-,-13.45%
266,Oct.99,96.84,99.18,101.22,94.22,-,-1.92%
265,Nov.99,111.83,97.11,111.83,92.56,-,15.48%
264,Dec.99,125.51,112.67,125.51,111.93,-,12.23%
263,Jan.00,138.46,141.54,141.54,135.74,-,10.32%
262,Feb.00,165.45,142.04,171.81,141.45,-,19.49%
261,Mar.00,171.86,167.44,176.04,166.58,-,3.87%
260,Apr.00,157.88,169.6,169.6,149.42,-,-8.13%
259,May.00,140.26,156,156.88,140.26,-,-11.16%
258,Jun.00,137.03,141.87,142.51,133.52,-,-2.30%
257,Jul.00,138.45,137.28,139.64,137.16,-,1.04%
256,Aug.00,146.06,138.71,146.49,132.79,-,5.50%
255,Sep.00,135.64,146.48,146.48,133.31,-,-7.13%
254,Oct.00,140.53,136.11,141.66,132.6,-,3.61%
253,Nov.00,142.77,141.77,145.93,141.23,-,1.59%
252,Dec.00,138.24,139.1,140.04,136.45,-,-3.17%
251,Jan.01,140.24,139.01,143.28,137.05,-,1.45%
250,Feb.01,132.6,140.17,141.95,131.21,-,-5.45%
249,Mar.01,124.79,131.61,131.78,121.4,-,-5.89%
248,Apr.01,134.81,123.42,134.81,121.62,-,8.03%
247,May.01,148.7,134.81,149.87,134.43,-,10.30%
246,Jun.01,141.63,145.44,146.96,136.85,-,-4.75%
245,Jul.01,137.12,141.53,142.91,135.89,-,-3.18%
244,Aug.01,132.27,137.28,137.47,128.74,-,-3.54%
243,Sep.01,122.72,122.26,122.72,110.73,-,-7.22%
242,Oct.01,123.65,122.72,127.01,120.37,-,0.76%
241,Nov.01,136.61,123.65,137.36,122.52,-,10.48%
240,Dec.01,144.69,136.86,144.69,136.86,-,5.91%
239,Jan.02,163.33,144.56,163.33,144.54,-,12.88%
238,Feb.02,174.05,163.78,174.89,155.97,-,6.56%
237,Mar.02,179.32,174.05,179.32,168.42,-,3.03%
236,Apr.02,187.19,175.65,191.53,175.65,-,4.39%
235,May.02,183.85,187.19,190.18,180.06,-,-1.78%
234,Jun.02,174.59,183.85,184.42,173.81,-,-5.04%
233,Jul.02,163.49,174.59,177.61,159.53,-,-6.36%
232,Aug.02,171.74,163.49,175.87,152.84,-,5.05%
231,Sep.02,174.54,171.74,176.97,167.75,-,1.63%
230,Oct.02,186.69,174.54,192.08,171.84,-,6.96%
229,Nov.02,205.14,186.69,205.82,186.2,-,9.88%
228,Dec.02,212.47,205.14,218.25,205,-,3.57%
227,Jan.03,208.59,212.47,220.18,203.77,-,-1.83%
226,Feb.03,205.05,208.59,213.02,203.26,-,-1.70%
225,Mar.03,208.62,205.05,210.24,203.09,-,1.74%
224,Apr.03,221.7,208.62,226.19,207.4,-,6.27%
223,May.03,242.71,221.7,244.54,221.1,-,9.48%
222,Jun.03,257.02,242.71,257.02,242.66,-,5.90%
221,Jul.03,266.28,257.02,267.8,253.26,-,3.60%
220,Aug.03,282.06,266.28,282.43,266.18,-,5.93%
219,Sep.03,273.92,282.06,310.17,270.15,-,-2.89%
218,Oct.03,273.55,273.92,294.37,269.83,-,-0.14%
217,Nov.03,265.13,273.55,281.27,258.82,-,-3.08%
216,Dec.03,285.65,265.13,286.74,264.62,-,7.74%
215,Jan.04,312.82,285.65,312.84,285.34,-,9.51%
214,Feb.04,321.42,312.82,322.94,309.57,-,2.75%
213,Mar.04,339.98,321.42,343.27,318.09,-,5.77%
212,Apr.04,340.28,339.98,356.07,332.98,-,0.09%
211,May.04,331.72,340.28,350.71,317.4,-,-2.52%
210,Jun.04,350.65,331.72,351.45,327.5,-,5.71%
209,Jul.04,348.63,350.65,355.93,344.91,-,-0.58%
208,Aug.04,350.67,348.63,356.52,344.28,-,0.59%
207,Sep.04,362.75,350.67,362.75,349.39,-,3.44%
206,Oct.04,383.27,362.75,389.62,360.21,-,5.66%
205,Nov.04,414.76,383.27,415.69,383.27,-,8.22%
