DATE,LTUIRLTLT01STM
2001-01-01,9.307
2001-02-01,9.766
2001-03-01,8.637
2001-04-01,8.498
2001-05-01,8.462
2001-06-01,8.462
2001-07-01,8.462
2001-08-01,8.011
2001-09-01,7.99
2001-10-01,7.618
2001-11-01,6.277
2001-12-01,6.337
2002-01-01,6.468
2002-02-01,6.434
2002-03-01,5.921
2002-04-01,6.15
2002-05-01,6.15
2002-06-01,6.098
2002-07-01,6.0
2002-08-01,6.0
2002-09-01,5.922
2002-10-01,5.874
2002-11-01,5.871
2002-12-01,5.871
2003-01-01,5.853
2003-02-01,5.668
2003-03-01,5.665
2003-04-01,5.647
2003-05-01,5.633
2003-06-01,5.499
2003-07-01,5.378
2003-08-01,5.037
2003-09-01,5.036
2003-10-01,4.816
2003-11-01,4.806
2003-12-01,4.806
2004-01-01,4.808
2004-02-01,4.809
2004-03-01,4.642
2004-04-01,4.547
2004-05-01,4.456
2004-06-01,4.468
2004-07-01,4.581
2004-08-01,4.573
2004-09-01,4.561
2004-10-01,4.383
2004-11-01,4.25
2004-12-01,3.953
2005-01-01,3.848
2005-02-01,3.804
2005-03-01,3.728
2005-04-01,3.821
2005-05-01,3.869
2005-06-01,3.776
2005-07-01,3.609
2005-08-01,3.498
2005-09-01,3.498
2005-10-01,3.498
2005-11-01,3.635
2005-12-01,3.785
2006-01-01,3.618
2006-02-01,3.534
2006-03-01,3.749
2006-04-01,3.919
2006-05-01,4.133
2006-06-01,4.341
2006-07-01,4.275
2006-08-01,4.275
2006-09-01,4.275
2006-10-01,4.275
2006-11-01,4.275
2006-12-01,4.275
2007-01-01,4.275
2007-02-01,4.275
2007-03-01,4.243
2007-04-01,4.18
2007-05-01,4.364
2007-06-01,4.566
2007-07-01,4.892
2007-08-01,4.801
2007-09-01,4.718
2007-10-01,4.718
2007-11-01,4.567
2007-12-01,4.938
2008-01-01,4.733
2008-02-01,4.511
2008-03-01,4.359
2008-04-01,4.587
2008-05-01,4.796
2008-06-01,5.332
2008-07-01,5.493
2008-08-01,5.47
2008-09-01,5.454
2008-10-01,5.4
2008-11-01,8.158
2008-12-01,9.0
2009-01-01,13.95
2009-02-01,14.5
2009-03-01,14.5
2009-04-01,14.5
2009-05-01,14.5
2009-06-01,14.5
2009-07-01,14.5
2009-08-01,14.5
2009-09-01,14.5
2009-10-01,14.5
2009-11-01,14.5
2009-12-01,9.103
2010-01-01,8.15
2010-02-01,7.15
2010-03-01,5.15
2010-04-01,5.15
2010-05-01,5.15
2010-06-01,5.15
2010-07-01,5.15
2010-08-01,5.15
2010-09-01,5.15
2010-10-01,5.15
2010-11-01,5.15
2010-12-01,5.15
2011-01-01,5.15
2011-02-01,5.15
2011-03-01,5.15
2011-04-01,5.12
2011-05-01,5.05
2011-06-01,5.05
2011-07-01,5.05
2011-08-01,5.05
2011-09-01,5.09
2011-10-01,5.06
2011-11-01,5.25
2011-12-01,5.75
2012-01-01,5.35
2012-02-01,5.15
2012-03-01,5.29
2012-04-01,5.3
2012-05-01,5.3
