"Date","Price","Open","High","Low","Change %"
"Nov 21","-0.049","-0.007","0.091","-0.275","1,137.50%"
"Oct 21","-0.004","-0.354","0.005","-0.401","-98.85%"
"Sep 21","-0.349","-0.389","-0.331","-0.439","-9.13%"
"Aug 21","-0.384","-0.382","-0.348","-0.423","1.32%"
"Jul 21","-0.379","-0.353","-0.324","-0.400","11.32%"
"Jun 21","-0.340","-0.343","-0.324","-0.387","4.29%"
"May 21","-0.326","-0.300","-0.300","-0.394","8.67%"
"Apr 21","-0.300","-0.176","-0.120","-0.359","-7.55%"
"Mar 21","-0.324","-0.168","-0.120","-0.326","97.87%"
"Feb 21","-0.164","-0.188","-0.148","-0.326","-11.11%"
"Jan 21","-0.184","-0.319","-0.152","-0.342","-43.92%"
"Dec 20","-0.329","-0.305","-0.263","-0.338","8.22%"
"Nov 20","-0.304","-0.159","-0.125","-0.315","91.19%"
"Oct 20","-0.159","-0.178","-0.148","-0.214","-10.42%"
"Sep 20","-0.177","-0.134","-0.086","-0.194","32.46%"
"Aug 20","-0.134","-0.191","-0.086","-0.195","-29.66%"
"Jul 20","-0.191","-0.004","0.022","-0.194","1,631.82%"
"Jun 20","-0.011","0.100","0.101","-0.014","-111.00%"
"May 20","0.100","0.116","0.200","0.091","-19.35%"
"Apr 20","0.124","0.025","0.200","0.025","396.00%"
"Mar 20","0.025","-0.115","0.025","-0.140","-121.74%"
"Feb 20","-0.115","-0.115","-0.115","-0.115","0.00%"
"Jan 20","-0.115","-0.085","-0.085","-0.115","35.29%"
"Dec 19","-0.085","-0.085","-0.085","-0.085","0.00%"
"Nov 19","-0.085","-0.085","-0.085","-0.085","0.00%"
"Oct 19","-0.085","0.030","0.030","-0.085","-383.33%"
"Sep 19","0.030","0.030","0.030","0.030","0.00%"
"Aug 19","0.030","0.030","0.030","0.030","0.00%"
"Jul 19","0.030","0.030","0.030","0.030","-40.00%"
"Jun 19","0.050","0.050","0.050","0.050","-66.67%"
"May 19","0.150","0.150","0.150","0.150","-25.00%"
"Apr 19","0.200","0.200","0.200","0.200","0.00%"
"Mar 19","0.200","0.200","0.200","0.200","-33.33%"
"Feb 19","0.300","0.300","0.300","0.300","-14.29%"
