"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 22","12,723.23","12,712.06","13,112.02","12,585.94","223.59M","0.09%"
"Mar 22","12,712.06","12,716.51","13,029.63","10,645.71","766.86M","-0.03%"
"Feb 22","12,716.51","13,190.07","13,570.38","12,522.74","555.93M","-3.59%"
"Jan 22","13,190.07","13,061.32","13,921.20","12,377.08","2.75B","0.99%"
"Dec 21","13,061.32","12,195.61","13,123.31","12,154.43","294.14M","7.10%"
"Nov 21","12,195.61","12,605.09","12,941.62","12,050.09","425.09M","-3.25%"
"Oct 21","12,605.09","12,645.10","12,905.78","12,503.82","519.81M","-0.32%"
"Sep 21","12,645.10","12,177.31","12,654.80","12,144.40","858.35M","3.84%"
"Aug 21","12,177.31","11,848.61","12,489.58","11,733.04","474.45M","2.77%"
"Jul 21","11,848.61","11,873.03","12,141.65","11,791.81","252.07M","-0.21%"
"Jun 21","11,873.03","11,431.12","12,032.57","11,264.75","341.98M","3.87%"
"May 21","11,431.12","11,342.04","11,775.06","11,304.51","350.08M","0.79%"
"Apr 21","11,342.04","11,189.60","11,492.10","11,089.59","315.64M","1.36%"
"Mar 21","11,189.60","10,201.85","11,202.97","10,201.85","500.11M","9.68%"
"Feb 21","10,201.85","10,306.47","10,789.15","10,188.44","422.29M","-1.02%"
"Jan 21","10,306.47","9,805.60","10,375.77","9,780.92","314.59M","5.11%"
"Dec 20","9,805.60","9,286.11","9,807.07","9,269.18","300.99M","5.59%"
"Nov 20","9,286.11","8,510.37","9,367.48","8,499.34","419.24M","9.12%"
"Oct 20","8,510.37","9,007.20","9,052.96","8,495.21","402.06M","-5.52%"
"Sep 20","9,007.20","8,997.28","9,413.75","8,869.69","670.65M","0.11%"
"Aug 20","8,997.28","8,377.89","9,000.83","8,374.99","472.91M","7.39%"
"Jul 20","8,377.89","8,659.55","8,719.71","8,377.89","321.24M","-3.25%"
"Jun 20","8,659.55","8,701.29","9,037.05","8,338.30","307.42M","-0.48%"
"May 20","8,701.29","7,978.64","8,801.50","7,960.14","392.87M","9.06%"
"Apr 20","7,978.64","7,625.38","8,418.71","7,408.16","472.80M","4.63%"
"Mar 20","7,625.38","9,121.27","9,833.72","6,936.37","768.21M","-16.40%"
"Feb 20","9,121.27","10,027.88","10,228.10","9,121.27","357.96M","-9.04%"
"Jan 20","10,027.88","9,977.30","10,231.21","9,832.59","358.18M","0.51%"
"Dec 19","9,977.30","9,886.93","9,989.79","9,765.63","260.34M","0.91%"
"Nov 19","9,886.93","9,518.89","9,904.93","9,518.89","418.08M","3.87%"
"Oct 19","9,518.89","9,574.37","9,719.29","9,405.92","187.21M","-0.58%"
"Sep 19","9,574.37","9,235.72","9,659.39","9,204.23","276.32M","3.67%"
"Aug 19","9,235.72","9,204.15","9,261.16","8,957.01","306.13M","0.34%"
"Jul 19","9,204.15","8,814.27","9,204.15","8,773.99","585.85M","4.42%"
"Jun 19","8,814.27","8,493.13","8,822.68","8,446.28","586.25M","3.78%"
"May 19","8,493.13","8,441.95","8,514.08","8,055.58","418.71M","0.61%"
"Apr 19","8,441.95","8,045.38","8,469.08","8,045.38","253.09M","4.93%"
"Mar 19","8,045.38","7,675.21","8,165.85","7,656.64","360.28M","4.82%"
"Feb 19","7,675.21","6,950.84","7,881.87","6,940.70","445.84M","10.42%"
"Jan 19","6,950.84","7,383.68","7,721.43","6,771.68","517.32M","-5.86%"
"Dec 18","7,383.68","8,665.36","8,788.60","6,925.06","648.87M","-14.79%"
"Nov 18","8,665.36","8,519.21","8,691.26","8,464.13","439.42M","1.72%"
"Oct 18","8,519.21","8,412.72","8,677.01","8,336.01","507.40M","1.27%"
"Sep 18","8,412.72","8,274.54","8,457.44","8,156.47","484.19M","1.67%"
"Aug 18","8,274.54","7,977.74","8,378.91","7,972.08","364.87M","3.72%"
"Jul 18","7,977.74","8,087.01","8,132.02","7,751.77","208.32M","-1.35%"
"Jun 18","8,087.01","8,080.10","8,320.54","7,897.97","250.92M","0.09%"
"May 18","8,080.10","8,713.14","8,868.00","7,961.09","322.68M","-7.27%"
"Apr 18","8,713.14","8,714.17","9,048.97","8,698.20","358.09M","-0.01%"
"Mar 18","8,714.17","8,452.41","8,822.06","8,314.86","458.99M","3.10%"
"Feb 18","8,452.41","8,370.46","8,452.41","7,842.55","234.81M","0.98%"
"Jan 18","8,370.46","7,753.74","8,507.11","7,753.74","389.21M","7.95%"
"Dec 17","7,753.74","7,796.21","7,823.37","7,413.95","405.85M","-0.54%"
"Nov 17","7,796.21","7,842.76","7,860.21","7,688.69","330.37M","-0.59%"
"Oct 17","7,842.76","7,877.92","8,073.15","7,795.71","274.32M","-0.45%"
"Sep 17","7,877.92","8,052.03","8,181.62","7,767.04","471.90M","-2.16%"
"Aug 17","8,052.03","8,276.55","8,504.87","8,019.00","252.48M","-2.71%"
"Jul 17","8,276.55","7,855.36","8,410.77","7,769.55","243.15M","5.36%"
