"Date","Price","Open","High","Low","Change %"
"Apr 22","6.330","5.750","6.500","5.750","8.76%"
"Mar 22","5.820","5.820","5.820","5.820","11.92%"
"Feb 22","5.200","5.200","5.200","5.200","15.81%"
"Jan 22","4.490","4.550","4.780","4.530","2.51%"
"Dec 21","4.380","4.530","4.680","4.520","0.00%"
"Nov 21","4.380","4.060","4.650","4.000","12.02%"
"Oct 21","3.910","3.140","4.070","3.140","29.04%"
"Sep 21","3.030","3.050","3.260","3.050","4.12%"
"Aug 21","2.910","2.690","3.050","2.650","13.23%"
"Jul 21","2.570","2.450","2.730","2.430","12.23%"
"Jun 21","2.290","2.340","2.460","2.330","2.23%"
"May 21","2.240","2.400","2.450","2.310","2.28%"
"Apr 21","2.190","2.340","2.430","2.310","-0.90%"
"Mar 21","2.210","2.600","2.610","2.260","-0.45%"
"Feb 21","2.220","2.080","2.480","2.020","12.12%"
"Jan 21","1.980","2.600","2.690","2.080","-19.84%"
"Dec 20","2.470","2.770","3.140","2.590","-3.52%"
"Nov 20","2.560","2.940","3.140","2.690","-11.11%"
"Oct 20","2.880","3.150","3.190","2.960","-5.57%"
"Sep 20","3.050","3.210","3.240","2.980","-0.33%"
"Aug 20","3.060","3.500","3.580","3.210","-10.53%"
"Jul 20","3.420","3.400","3.590","3.330","4.59%"
"Jun 20","3.270","3.420","3.550","3.390","-4.11%"
"May 20","3.410","3.880","3.880","3.520","-7.34%"
"Apr 20","3.680","3.850","3.920","3.740","3.66%"
"Mar 20","3.550","3.340","4.800","3.180","12.34%"
"Feb 20","3.160","3.640","3.650","3.210","-8.67%"
"Jan 20","3.460","3.810","3.810","3.590","-5.21%"
"Dec 19","3.650","3.820","3.910","3.800","1.39%"
"Nov 19","3.600","3.610","3.810","3.560","4.05%"
"Oct 19","3.460","3.500","3.650","3.460","4.22%"
"Sep 19","3.320","3.530","3.610","3.430","-0.60%"
"Aug 19","3.340","3.650","3.770","3.410","-3.19%"
"Jul 19","3.450","3.810","3.975","3.540","-4.03%"
"Jun 19","3.595","3.890","3.910","3.695","-1.91%"
"May 19","3.665","3.840","3.950","3.780","0.96%"
"Apr 19","3.630","3.730","4.010","3.690","2.63%"
"Mar 19","3.537","3.850","3.970","3.620","-2.29%"
"Feb 19","3.620","4.220","4.250","3.770","-9.34%"
"Jan 19","3.993","4.150","4.450","3.940","1.32%"
"Dec 18","3.941","3.780","4.210","3.470","8.06%"
"Nov 18","3.647","4.170","4.230","3.790","-10.83%"
"Oct 18","4.090","4.050","4.310","3.978","3.81%"
"Sep 18","3.940","4.010","4.120","3.980","2.34%"
"Aug 18","3.850","4.280","4.410","3.930","-7.67%"
"Jul 18","4.170","4.430","4.460","4.205","-3.47%"
"Jun 18","4.320","3.800","4.440","3.780","15.76%"
"May 18","3.732","3.480","3.860","3.460","10.06%"
"Apr 18","3.391","3.240","3.481","3.020","7.31%"
"Mar 18","3.160","3.450","3.490","3.190","-5.39%"
"Feb 18","3.340","3.470","3.560","3.450","-0.30%"
"Jan 18","3.350","3.440","3.521","3.330","0.54%"
"Dec 17","3.332","3.450","3.550","3.432","-3.81%"
"Nov 17","3.464","2.650","3.545","2.640","35.84%"
"Oct 17","2.550","2.290","2.710","2.285","15.38%"
"Sep 17","2.210","1.920","2.360","1.900","20.11%"
"Aug 17","1.840","1.320","1.935","1.278","53.33%"
"Jul 17","1.200","1.400","1.510","1.230","-4.91%"
"Jun 17","1.262","1.410","1.543","1.250","-2.92%"
"May 17","1.300","1.610","1.687","1.400","-14.81%"
"Apr 17","1.526","1.650","1.730","1.520","-0.07%"
"Mar 17","1.527","1.690","1.827","1.550","-3.78%"
"Feb 17","1.587","1.878","1.878","1.690","-4.28%"
"Jan 17","1.658","1.580","1.808","1.570","14.50%"
"Dec 16","1.448","1.600","1.700","1.580","0.00%"
"Nov 16","1.448","1.469","1.679","1.420","9.70%"
"Oct 16","1.320","1.479","1.563","1.352","0.84%"
"Sep 16","1.309","1.520","1.609","1.399","-7.82%"
"Aug 16","1.420","1.650","1.662","1.500","-8.39%"
"Jul 16","1.550","1.870","1.891","1.630","-12.43%"
"Jun 16","1.770","1.850","2.110","1.720","1.14%"
"May 16","1.750","1.920","1.930","1.830","0.63%"
"Apr 16","1.739","1.181","1.930","1.114","57.09%"
"Mar 16","1.107","1.268","1.500","1.182","-6.82%"
