GEO/TIME,Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden
1999M01,99.8,74.2,58.5,74.9,105.9,78.3,103.9,110.8,111.1,101.5,:,96.3,:,77.2,73.1,100.7,96.6,:,107.8,99.3,83.8,113.6,60.5,89.6,100.6,100,92.9
1999M02,97.5,78.1,62.7,79.6,105.9,77.4,111.9,110.2,110.6,103.1,:,94.8,:,76.9,72.6,95.5,90.8,:,106.9,97.8,86.7,109.4,59.8,84.7,91.1,96.5,92.1
1999M03,96.8,67.4,54.7,81.7,105,76.5,108.2,110.3,110.9,100.9,:,95.7,:,76.7,73.7,96.6,94.9,:,105.3,99.2,91.2,109.1,59.1,83.5,71.2,97.3,92.4
1999M04,103.3,68,66.7,79.5,103.5,83.7,107.2,112.3,109.6,101.3,:,93.1,:,78.3,73.1,96.7,93.7,:,104.7,99.3,88.9,108.1,76.6,89.1,76.8,98.5,92.2
1999M05,103,64.5,64.5,80.5,103.2,83.3,109.7,111.6,110.1,102.5,:,96.2,:,78.4,75.4,98.2,86.7,:,103.9,97.3,86.9,107.2,76.4,87.4,69.1,98.9,95.3
1999M06,100.7,69.7,71.6,82,103.7,82.9,109.8,111.1,107.8,103.5,:,100,:,78.6,86.8,100.5,88.5,:,104.9,95.1,87.7,107.8,75.3,90.3,83.4,104,97.1
1999M07,102.3,69.6,76.7,84.5,99.7,87,111.7,109.2,108.8,107.5,:,98.6,:,74.6,73.6,99.3,90.5,:,104.8,103.9,87.2,111.6,83.5,99.8,86.2,105.1,98
1999M08,103,72.5,65.5,91.9,100.3,87.2,112.9,109.7,109.2,109.9,:,101.6,:,74.8,80.5,101.3,93.8,:,105.5,102,92.1,111.9,83.8,99.7,84.6,104.1,100.3
1999M09,105.3,73.5,82.9,95.1,100.2,87.3,112.5,110.3,111.3,112.9,:,103.8,:,75,82.7,100.6,97.8,:,107.2,106.3,94.6,108.3,84,98.6,82.6,102.5,100.8
1999M10,109,77.8,82,90.8,104.5,92.1,113.2,114.5,113,113.9,:,105.4,:,87.2,81.4,106.7,99.2,:,110.1,105.6,93.2,111.5,84.6,99.3,86.4,105.9,101.8
